Z31_Y07 721 43 2601
Z31_Y07 629 694 2924
Z31_Y07 1776 238 372
Z31_Y08 1986 381 2962
Z31_Y08 1349 791 2193
Z31_Y09 1221 738 2622
Z31_Y09 396 511 2778
Z31_Y09 978 562 2330
Z31_Y09 514 537 3175
Z31_Y09 934 116 2636
Z31_Y09 1386 755 1622
Z31_Y09 1692 866 2732
Z31_Y09 1265 735 2622
Z31_Y09 1134 45 1382
Z31_Y09 1890 834 2225
Z31_Y09 1209 702 2624
Z31_Y09 984 433 2316
Z31_Y10 1331 585 578
Z31_Y10 708 613 2813
Z31_Y10 355 680 2847
Z31_Y10 4 366 2972
Z31_Y10 1850 1018 2947
Z31_Y10 1250 610 2263
Z31_Y10 719 582 2817
Z31_Y11 1960 362 2979
Z31_Y11 349 649 2736
Z31_Y11 1056 110 2019
Z31_Y11 1360 997 2741
Z31_Y11 651 37 2642
Z31_Y11 694 236 386
Z31_Y11 1060 147 2014
Z31_Y11 1067 179 2006
Z31_Y11 717 283 383
Z31_Y11 358 612 2739
Z31_Y11 755 245 385
Z31_Y11 348 618 2745
Z31_Y12 1927 580 316
Z31_Y12 2007 88 1327
Z31_Y12 2011 130 1319
Z31_Y12 2000 37 1338
Z31_Y12 737 417 2612
Z31_Y12 1674 13 1553
Z31_Y12 2036 362 2924
Z31_Y12 398 1023 2456
Z31_Y12 1674 63 1544
Z31_Y12 1573 51 2727
Z31_Y12 2010 527 2318
Z31_Y12 2010 352 2936
Z31_Y12 2025 202 1306
Z31_Y12 1936 360 2964
Z31_Y13 1593 385 2614
Z31_Y13 100 160 2376
Z31_Y13 1859 953 2496
Z31_Y13 520 185 2158
Z31_Y13 1145 254 2763
Z31_Y13 1894 196 2424
Z31_Y13 1267 829 2752
Z31_Y13 1585 345 2617
Z31_Y13 31 31 1896
Z31_Y13 578 764 2411
Z31_Y13 1570 952 2755
Z31_Y13 1552 341 2628
Z31_Y13 89 109 2379
Z31_Y13 981 137 544
Z31_Y13 39 133 2382
Z31_Y13 1125 426 127
Z31_Y13 1412 959 2785
Z31_Y13 47 812 1947
Z31_Y13 1636 375 2614
Z31_Y13 1846 923 2503
Z31_Y13 1519 331 2634
Z31_Y13 1422 309 2655
Z31_Y13 151 143 2376
Z31_Y13 1481 325 2641
Z31_Y13 1390 299 2664
Z31_Y13 1593 421 2613
Z31_Y13 88 204 2374
Z31_Y13 1597 409 2608
Z31_Y13 1318 275 2684
Z31_Y13 1864 982 2491
Z31_Y13 1820 928 2504
Z31_Y13 1587 443 2600
Z31_Y13 1750 899 2763
Z31_Y14 151 363 1522
Z31_Y14 1236 37 2254
Z31_Y14 2029 130 2385
Z31_Y14 1931 49 2641
Z31_Y14 198 264 2420
Z31_Y14 1991 29 1902
Z31_Y14 1250 133 2460
Z31_Y14 2003 112 2392
Z31_Y14 314 209 2236
Z31_Y14 1902 105 2403
Z31_Y14 2007 807 1954
Z31_Y14 2026 170 2382
Z31_Y14 63 744 2030
Z31_Y14 520 641 967
Z31_Y14 165 593 1377
Z31_Y14 1805 95 2412
Z31_Y14 1308 683 1113
Z31_Y14 2036 190 2376
Z31_Y14 1185 35 2255
Z31_Y14 1719 94 2419
Z31_Y14 2025 35 2405
Z31_Y14 1568 67 2434
Z31_Y14 1658 83 2424
Z31_Y14 1497 67 2441
Z31_Y14 2021 234 2368
Z31_Y14 1082 767 767
Z31_Y14 124 402 1521
Z31_Y14 1163 17 2260
Z31_Y14 1116 17 2264
Z31_Y14 83 394 1518
Z31_Y14 1018 14 2271
Z31_Y14 1281 33 2255
Z31_Y14 861 22 2282
Z31_Y14 1272 111 2461
Z31_Y14 1349 97 2452
Z31_Y14 768 28 2287
Z31_Y14 1890 41 2417
Z31_Y14 1232 81 2251
Z31_Y14 691 41 2290
Z31_Y14 209 917 1437
Z31_Y14 12 435 1512
Z31_Y14 1932 72 2637
Z31_Y14 1457 75 2444
Z31_Y14 951 18 2276
Z31_Y14 554 75 2293
Z31_Y14 2034 286 2360
Z31_Y15 1252 177 1473
Z31_Y15 2033 713 2039
Z31_Y15 2023 393 1522
Z31_Y15 1889 465 1511
Z31_Y15 313 267 1491
Z31_Y15 1955 434 1517
Z31_Y15 1776 7 2808
Z31_Y15 543 741 1943
Z31_Y15 1826 497 1505
Z31_Y15 1743 538 1497
Z31_Y15 1644 568 1489
Z31_Y15 1633 922 996
Z31_Y16 2010 44 2621
Z32_Y02 298 238 1505
Z32_Y02 27 626 1668
Z32_Y02 490 527 1626
Z32_Y02 689 10 1562
